date,station,invariant,lag_star,rho_at_peak,corr_at_lag,pval,peak_align,pval_adj,significant
2024-05-10,IRK3,permutation_entropy,63,-0.12957223355965344,-0.13249679931805797,0.0,159,0.0,True
2024-05-10,IRK3,sampen,-360,0.0,,1.0,-74,1.0,False
2024-05-10,IRK3,app_entropy,357,-0.09393504422782414,-0.10452580655989516,0.0,141,0.0,True
2024-05-10,IRK3,spectral_entropy,26,0.10356068139051301,0.1040910222602329,0.0,22,0.0,True
2024-05-10,IRK3,shannon_entropy,43,-0.06934357277183417,-0.07064190307398943,0.002,24,0.0022,True
2024-05-10,IRK3,lepel_ziv,39,-0.07570562975129809,-0.07656304810746913,0.0,121,0.0,True
2024-05-10,IRK3,dfa,143,-0.06851184255040188,-0.07152560586823928,0.001,-71,0.0015714285714285715,True
2024-05-10,IRK3,hurst,-54,0.0670163546128006,0.06798456846729527,0.0,148,0.0,True
2024-05-10,IRK3,mfhurst_b,-56,0.09548620684928377,0.09722972143917044,0.001,115,0.0018333333333333335,True
2024-05-10,IRK3,higuchi_fd,195,-0.08124850215897866,-0.08741657784404991,0.0,8,0.0,True
2024-05-10,IRK3,katz_fd,72,0.06653047465904754,0.06790666259119871,0.003,-33,0.0033,True
2024-05-10,IRK3,petrosian_fd,139,0.06733251454219508,0.07068250437110718,0.003,-7,0.0036666666666666666,True
2024-05-10,IRK3,corr_dim,217,0.06500119570265003,0.0722843602692184,0.003,-34,0.003,True
2024-05-10,IRK3,entropy,52,0.10782739403071047,0.10882215539002837,0.0,23,0.0,True
2024-05-10,KERG,permutation_entropy,-118,-0.056012187911905334,-0.05762612019942111,0.006,68,0.006,True
2024-05-10,KERG,sampen,-279,-0.10351209214683559,-0.11630637980086954,0.0,-59,0.0,True
2024-05-10,KERG,app_entropy,-267,0.07469138502253915,0.08015108320214105,0.001,-112,0.0011,True
2024-05-10,KERG,spectral_entropy,83,0.04748175579773176,0.0484096549668798,0.003,-68,0.004714285714285714,True
2024-05-10,KERG,shannon_entropy,-270,-0.08614619285015465,-0.09299228399803432,0.0,-28,0.0,True
2024-05-10,KERG,lepel_ziv,-336,0.073494009971314,0.08365716799753535,0.0,65,0.0,True
2024-05-10,KERG,dfa,174,-0.07006980898075471,-0.07552270697398586,0.0,-22,0.0,True
2024-05-10,KERG,hurst,294,0.08312679671044321,0.09360029337604624,0.0,-119,0.0,True
2024-05-10,KERG,mfhurst_b,225,-0.061481829910484544,-0.06758408891083956,0.003,-78,0.0033,True
2024-05-10,KERG,higuchi_fd,-74,-0.07159713343043148,-0.07329703715256225,0.001,-52,0.001375,True
2024-05-10,KERG,katz_fd,-65,-0.07686500268385393,-0.07891092020175,0.001,-109,0.001375,True
2024-05-10,KERG,petrosian_fd,127,-0.06069971586004926,-0.06318282273609332,0.002,-76,0.003142857142857143,True
2024-05-10,KERG,corr_dim,165,-0.06798559096688447,-0.07229241373464232,0.0,-89,0.0,True
2024-05-10,KERG,entropy,-58,-0.05884466903935086,-0.059512216173160624,0.002,30,0.0024444444444444444,True
2024-05-10,KIEL2,permutation_entropy,-241,-0.06167738944338755,-0.06637302748696274,0.002,54,0.0024444444444444444,True
2024-05-10,KIEL2,sampen,-9,-0.07621898833430371,-0.0763849587158871,0.0,26,0.0,True
2024-05-10,KIEL2,app_entropy,-76,-0.07419476084991886,-0.07633378531125662,0.001,27,0.0011,True
2024-05-10,KIEL2,spectral_entropy,169,-0.05264571293464658,-0.05496348425486463,0.004,-41,0.0055,True
2024-05-10,KIEL2,shannon_entropy,-162,-0.06671213027812033,-0.07063047988729135,0.002,14,0.0022,True
2024-05-10,KIEL2,lepel_ziv,143,0.059330159910636025,0.06271193121618993,0.001,52,0.0011,True
2024-05-10,KIEL2,dfa,283,0.07392590945220565,0.08157961246647305,0.0,42,0.0,True
2024-05-10,KIEL2,hurst,16,-0.06639439633259953,-0.06690244583058935,0.003,98,0.003,True
2024-05-10,KIEL2,mfhurst_b,70,-0.06316779027576822,-0.06556305620258401,0.001,-7,0.0018333333333333335,True
2024-05-10,KIEL2,higuchi_fd,-60,-0.07152779641402836,-0.07301385047834368,0.001,-48,0.001375,True
2024-05-10,KIEL2,katz_fd,56,-0.08781844484194987,-0.0902371673520468,0.0,81,0.0,True
2024-05-10,KIEL2,petrosian_fd,329,0.06883224413157027,0.07885744996690557,0.0,45,0.0,True
2024-05-10,KIEL2,corr_dim,-334,-0.07152830392077236,-0.08038648018578444,0.001,88,0.0012222222222222222,True
2024-05-10,KIEL2,entropy,101,0.05972201057563745,0.06169937026630225,0.002,92,0.0024444444444444444,True
2024-05-10,LMKS,permutation_entropy,119,-0.07763271966847055,-0.08301294904607119,0.0,6,0.0,True
2024-05-10,LMKS,sampen,-176,-0.07802845729349647,-0.08250756314314642,0.0,118,0.0,True
2024-05-10,LMKS,app_entropy,137,-0.06660236121684164,-0.06939243998264451,0.0,122,0.0,True
2024-05-10,LMKS,spectral_entropy,-22,-0.07720710307276929,-0.0773690616631042,0.0,77,0.0,True
